DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop
2020-04-01,216.801,2020,4,57386,206982497.6,6.9,256.092,14.7,60.195798,234.3,0.05,82.7,128451,76660,44.147,16.2
2020-05-01,216.987,2020,5,58859.33333,206796375.8,5.4,255.868,13.2,62.23612652,233.3,0.05,82.7,128451,76660,44.147,16.2
2020-06-01,217.63,2020,6,60332.66667,205507595.3,3.8,256.986,11,64.76607083,234.8,0.08,82.7,128451,76660,44.147,16.2
2020-07-01,219.322,2020,7,61806,205375033,3.4,258.278,10.2,65.37959518,237,0.09,82.7,128451,76660,44.147,16.2
2020-08-01,222.424,2020,8,62008.66667,205753509.8,3.3,259.411,8.4,66.8599538,240.9,0.1,82.7,128451,76660,44.147,16.2
2020-09-01,225.853,2020,9,62211.33333,206129691.6,3.4,260.029,7.9,66.92683725,246.9,0.09,82.7,128451,76660,44.147,16.2
2020-10-01,229.781,2020,10,62414,206073201.6,3.3,260.286,6.9,67.89888245,246.4,0.09,82.7,128451,76660,44.147,16.2
2020-11-01,233.235,2020,11,62685,206157005.4,4,260.813,6.7,67.81809269,244.3,0.09,82.7,128451,76660,44.147,16.2
2020-12-01,236.521,2020,12,62956,206069507.8,4.1,262.035,6.7,67.91473996,248,0.09,82.7,128451,76660,44.147,16.2
2021-01-01,239.559,2021,1,63227,204934021.3,4,262.65,6.3,68.18465627,256.4,0.09,82.9,129224,76330,45.299,16.7
2021-02-01,242.325,2021,2,63537,204891687.6,4.9,263.638,6.2,68.41396436,264.6,0.08,82.9,129224,76330,45.299,16.7
2021-03-01,245.402,2021,3,63847,205005370.3,4.4,264.914,6.1,68.56918699,276.7,0.07,82.9,129224,76330,45.299,16.7
2021-04-01,249.055,2021,4,64157,205383768.5,4.7,266.67,6.1,68.6569037,291.8,0.07,82.9,129224,76330,45.299,16.7
2021-05-01,253.426,2021,5,64309.66667,205608505.1,5.6,268.444,5.8,68.96737979,305.9,0.06,82.9,129224,76330,45.299,16.7
2021-06-01,258.381,2021,6,64462.33333,205376295.6,5.8,270.559,5.9,69.09605288,315.7,0.08,82.9,129224,76330,45.299,16.7
2021-07-01,262.707,2021,7,64615,205348746.1,5.7,271.764,5.4,69.67611984,313.542,0.1,82.9,129224,76330,45.299,16.7
2021-08-01,266.921,2021,8,64960.33333,205344628.4,6.5,272.87,5.2,69.67997156,313.083,0.09,82.9,129224,76330,45.299,16.7
2021-09-01,270.402,2021,9,65305.66667,205480663.7,6,274.028,4.8,69.94873945,317.136,0.08,82.9,129224,76330,45.299,16.7
2021-10-01,273.769,2021,10,65651,205382783.1,6.8,276.522,4.5,70.19994538,322.12,0.08,82.9,129224,76330,45.299,16.7
2021-11-01,277.251,2021,11,65529.33333,205355471.4,6,278.711,4.2,70.63911057,328.94,0.08,82.9,129224,76330,45.299,16.7
2021-12-01,281.393,2021,12,65407.66667,205308040.7,5.6,280.887,3.9,70.79829312,335.032,0.08,82.9,129224,76330,45.299,16.7
2022-01-01,285.921,2022,1,65286,207089262.2,5.8,282.599,4,70.75321821,345.742,0.08,83.1,131202,74580,48.021,17.1
2022-02-01,291.09,2022,2,65233,207088528.9,6.2,284.61,3.8,70.89598181,343.583,0.08,83.1,131202,74580,48.021,17.1
2022-03-01,296.353,2022,3,65180,207000251.6,7,287.472,3.6,71.26464937,345.852,0.2,83.1,131202,74580,48.021,17.1
2022-04-01,300.55,2022,4,65127,207057895.4,8.5,288.611,3.6,71.22310598,343.786,0.33,83.1,131202,74580,48.021,17.1
2022-05-01,303.796,2022,5,65238.66667,207270495.4,8.3,291.268,3.6,71.37394575,353.015,0.77,83.1,131202,74580,48.021,17.1
2022-06-01,304.755,2022,6,65350.33333,207401806.1,9.5,294.728,3.6,71.23525813,349.8,1.21,83.1,131202,74580,48.021,17.1
2022-07-01,303.714,2022,7,65462,207424100.6,10.1,294.628,3.5,71.32598332,346.79,1.68,83.1,131202,74580,48.021,17.1
2022-08-01,301.596,2022,8,65569,207394073.3,8.7,295.32,3.7,71.46689996,342.753,2.33,83.1,131202,74580,48.021,17.1
2022-09-01,299.38,2022,9,65676,207474329.2,9.7,296.539,3.5,71.44423087,336.464,2.56,83.1,131202,74580,48.021,17.1
2022-10-01,298.922,2022,10,65783,207456273.8,9.7,297.987,3.7,71.24779933,333.796,3.08,83.1,131202,74580,48.021,17.1
2022-11-01,298.312,2022,11,65881.33333,207509690,9.4,298.598,3.6,71.32303642,330.369,3.78,83.1,131202,74580,48.021,17.1
2022-12-01,297.471,2022,12,65979.66667,207506562.5,8.5,298.99,3.5,71.57598748,326.449,4.1,83.1,131202,74580,48.021,17.1
2023-01-01,297.43,2023,1,66096,208314500,8.3,300.356,3.4,71.68515,327.338,4.33,83.2,131434,74580,48.021,17.6
2023-02-01,297.739,2023,2,66183,208351900,8.4,301.509,3.6,71.76801,330.532,4.57,83.2,131434,74580,48.021,17.6
2023-03-01,298.796,2023,3,66270,208202100,8.1,301.744,3.5,71.85719,331.729,4.65,83.2,131434,74580,48.021,17.6
2023-04-01,300.262,2023,4,66357,208302800,7.5,303.032,3.4,71.95815,333.366,4.83,83.2,131434,74580,48.021,17.6
2023-05-01,302.489,2023,5,66588,208498900,6.9,303.365,3.7,71.94364,337.473,5.06,83.2,131434,74580,48.021,17.6
2023-06-01,304.343,2023,6,66819,208652800,7.7,304.003,3.6,71.99511,337.336,5.08,83.2,131434,74580,48.021,17.6
2023-07-01,306.451,2023,7,67050,208727000,7.3,304.628,3.5,71.96581,334.512,5.12,83.2,131434,74580,48.021,17.6
2023-08-01,308.83,2023,8,67358.66667,208810300,7.9,306.187,3.8,72.0615,333.794,5.33,83.2,131434,74580,48.021,17.6
2023-09-01,310.894,2023,9,67358.66667,208986900,7.5,307.288,3.8,72.05243,332.098,5.33,83.2,131434,74580,48.021,17.6
2023-10-01,312.756,2023,10,67513,208948000,7.9,307.531,3.8,71.97988,328.743,5.33,83.2,131434,74580,48.021,17.6
2023-11-01,313.632,2023,11,67566,209035600,8.8,308.024,3.7,72.09671,326.844,5.33,83.2,131434,74580,48.021,17.6
2023-12-01,314.443,2023,12,67619,209117700,8.2,308.742,3.7,71.81763,327.644,5.33,83.2,131434,74580,48.021,17.6
2024-01-01,315.728,2024,1,67672,208630800,8.3,309.685,3.7,72.01261,334.374,5.33,83.2,131434,74580,48.021,17.6
2024-02-01,317.257,2024,2,67804.66667,208655500,8.7,311.054,3.9,71.88552,337.766,5.33,83.2,131434,74580,48.021,17.6
2024-03-01,318.217,2024,3,67937.33333,208606600,8.2,312.23,3.8,72.00176,330.965,5.33,83.2,131434,74580,48.021,17.6
2024-04-01,319.048,2024,4,68070,208586500,7.7,313.207,3.9,72.02491,330.166,5.33,83.2,131434,74580,48.021,17.6
2024-05-01,322.192825,2024,5,68070,208855400,9.1,313.225,4,71.8811,329.342,5.33,83.2,131434,74580,48.021,17.6
2024-06-01,323.7867235,2024,6,68070,208928900,9.3,313.049,4.1,71.82606,328.995,5.33,83.2,131434,74580,48.021,17.6
